name,sales,zipcode,address,store,first_sale,last_sale
WALGREENS #03700 / COUNCIL BLUFFS,98,51503,535 E BROADWAY,4741,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
KUM & GO #119/ NORTHWOOD,97,50459,818 HWY 105,5388,2021-10-04T00:00:00Z,2021-11-15T00:00:00Z
A&S FOOD AND GAS / DAVENPORT,96,52802,2365 ROCKINGHAM RD,6092,2021-10-05T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE -CENTER POINT,96,52213,123 A ST,5801,2019-06-21T00:00:00Z,2019-06-21T00:00:00Z
CHUCK'S SPORTSMANS BEVERAGE,96,NA,NA,3542,2019-07-01T00:00:00Z,2019-07-22T00:00:00Z
RIVER MART,95,NA,NA,4983,2016-09-12T00:00:00Z,2021-11-19T00:00:00Z
CASEY'S GENERAL STORE #2914 / HARLAN,93,51537,"1006, CHATBURN AVE",4560,2021-10-05T00:00:00Z,2021-11-09T00:00:00Z
CASEY'S GENERAL STORE #1569 / OAKLAND,91,51560,205 BROWN ST,4516,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
CASEY'S GENERAL STORE #3029 / ARMSTRONG,91,50514,"307, S 4TH AVE",4854,2020-02-12T00:00:00Z,2020-04-22T00:00:00Z
FAREWAY STORES #559 / IOWA FALLS,90,50126,500 IOWA ST,4284,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
A TO Z LIQUOR,89,NA,NA,5140,2019-04-02T00:00:00Z,2019-04-15T00:00:00Z
CASEY'S GENERAL STORE #2787 / CEDAR RAPIDS,89,52402,1661 32ND ST NE,4487,2021-10-06T00:00:00Z,2021-11-24T00:00:00Z
KWIK STOP #848 / DUBUQUE,89,NA,NA,5209,2017-02-21T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE # 2560/ AMES,88,50010,3020 DUFF AVE,5279,2021-10-21T00:00:00Z,2021-11-18T00:00:00Z
CHROME TRUCK STOP,88,50511,211 HIGHWAY 18 E.,5469,2021-10-06T00:00:00Z,2021-11-17T00:00:00Z
CASEY'S GENERAL STORE #1125 / HUMEST,87,NA,NA,5059,2016-09-14T00:00:00Z,2016-12-14T00:00:00Z
STRATFORD FOOD CENTER,87,50249,829 SHAKESPEARE AVE,4326,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
FAREWAY STORES #395 / WEBSTER CITY,86,50595,942  2ND ST,4235,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
CASEY'S GENERAL STORE #3075 / ANKENY,85,NA,NA,4767,2016-09-09T00:00:00Z,2019-07-17T00:00:00Z
CASEY'S GENERAL STORE - #2532,85,50627,1807 EDGINGTON AVE,6018,2021-10-04T00:00:00Z,2021-11-08T00:00:00Z
CIRCLE K #4706604 / BURLINGTON,85,52601,421 N MAIN ST,4859,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
MALCOM GAS & FOOD / MALCOM,85,50157,203 MONTEZUMA STREET,6175,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
